File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\build\web\productInsertImages.jsp,readURL(input),12,12,9,1,0,0,0,0,
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\build\web\includesPage\gChartings\gCharts_LineDiagram1_productsPendinginmonth.jsp,drawChart(),54,52,16,2,2,0,0,0,
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\build\web\includesPage\gChartings\gCharts_pieChartItemsSoldByCategory.jsp,drawChart(),29,27,8,0,2,0,0,0,
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\build\web\includesPage\gChartings\gCharts_pieChartItemsViewedByCategory.jsp,drawChart(),29,27,8,0,2,0,0,0,
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\build\web\includesPage\gChartings\gCharts_top10ProductsSold.jsp,drawChart(),46,45,16,2,1,0,0,0,
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\build\web\includesPage\gChartings\gCharts_top10ProductsSold720px.jsp,drawChart(),46,45,16,2,1,0,0,0,
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\build\web\includesPage\gChartings\gCharts_top10Products_viewed.jsp,drawChart(),46,45,16,2,1,0,0,0,
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\build\web\includesPage\gChartings\gCharts_top10Products_Viewed720px.jsp,drawChart(),46,45,16,2,1,0,0,0,
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\build\web\includesPage\gChartings\gChart_ComboLine.jsp,drawChart(),90,88,40,14,2,0,0,0,
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\web\productInsertImages.jsp,readURL(input),12,12,9,1,0,0,0,0,
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\web\includesPage\gChartings\gCharts_LineDiagram1_productsPendinginmonth.jsp,drawChart(),54,52,16,2,2,0,0,0,
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\web\includesPage\gChartings\gCharts_pieChartItemsSoldByCategory.jsp,drawChart(),29,27,8,0,2,0,0,0,
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\web\includesPage\gChartings\gCharts_pieChartItemsViewedByCategory.jsp,drawChart(),29,27,8,0,2,0,0,0,
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\web\includesPage\gChartings\gCharts_top10ProductsSold.jsp,drawChart(),46,45,16,2,1,0,0,0,
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\web\includesPage\gChartings\gCharts_top10ProductsSold720px.jsp,drawChart(),46,45,16,2,1,0,0,0,
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\web\includesPage\gChartings\gCharts_top10Products_viewed.jsp,drawChart(),46,45,16,2,1,0,0,0,
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\web\includesPage\gChartings\gCharts_top10Products_Viewed720px.jsp,drawChart(),46,45,16,2,1,0,0,0,
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\web\includesPage\gChartings\gChart_ComboLine.jsp,drawChart(),90,88,40,14,2,0,0,0,
